fii_name,quote,dividend_yield,price_book_ratio,liquidity,appreciation_12months,vacancy,number_unit_holders,issued_units,net_asset_value_per_unit,net_asset_value,last_dividend_payment,corporate_name,cnpj,target_audience,invest_objective,market_sector,fund_type,fund_term,management_type,management_fee,date_process
CVBI11,"R$ 85,12","13,90%","0,91","R$ 1,95 M","5,84%",-,94.916,11.010.217,"R$ 93,73","R$ 1,03 Bilhão","R$ 0,90",FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI,28.729.197/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,90% a.a. sobre o Patrimônio Líquido do Fundo",2024-11-09
BDIF11,"R$ 77,42","14,25%","0,89","R$ 3,55 M","-6,60%",-,38.100,18.307.612,"R$ 87,30","R$ 1,60 Bilhão","R$ 0,78",FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA BTG PACTUAL DÍVIDA INFRA,40.502.607/0001-94,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,"0,75%",2024-11-09
GAME11,"R$ 8,86","12,53%","0,92","R$ 107,20 K","9,25%",-,1,21.697.666,"R$ 9,59","R$ 208,01 Milhões","R$ 0,09",FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN MULTIESTRATÉGIA I,41.269.052/0001-45,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,"1,10% a.a.",2024-11-09
BCRI11,"R$ 63,39","14,66%","0,73","R$ 540,45 K","7,55%",-,44.144,6.257.862,"R$ 87,33","R$ 546,53 Milhões","R$ 0,84",BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO,22.219.335/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,0% a.a",2024-11-09
BTAL11,"R$ 70,64","12,68%","0,63","R$ 678,60 K","-1,20%",-,42.069,5.982.725,"R$ 112,44","R$ 672,70 Milhões","R$ 0,84",FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA,36.642.244/0001-15,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"1,10% ao ano sobre PL",2024-11-09
XPPR11,"R$ 14,72","6,11%","0,24","R$ 131,18 K","-19,87%","44,00%",45.903,7.316.160,"R$ 62,52","R$ 457,41 Milhões","R$ 0,07",XP Properties Fundo de Investimento Imobiliario,30.654.849/0001-40,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"0,95 a,a",2024-11-09
XPIN11,"R$ 70,87","10,67%","0,67","R$ 435,62 K","-5,19%","6,40%",47.256,7.150.411,"R$ 105,76","R$ 756,21 Milhões","R$ 0,74",XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIARIO,28.516.325/0001-40,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"Entre 3,5% e 7,25%",2024-11-09
XPCI11,"R$ 79,76","12,91%","0,89","R$ 1,82 M","2,66%",-,76.919,8.701.541,"R$ 89,81","R$ 781,49 Milhões","R$ 0,80",XP CREDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.516.301/0001-91,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido",2024-11-09
PORD11,"R$ 7,94","14,08%","0,83","R$ 527,46 K","0,89%",-,39.014,37.283.739,"R$ 9,57","R$ 356,64 Milhões","R$ 0,09",POLO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS II,17.156.502/0001-09,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,90% a.a.",2024-11-09
VGIP11,"R$ 81,72","12,35%","0,90","R$ 1,86 M","3,51%",-,89.317,11.787.236,"R$ 90,99","R$ 1,07 Bilhão","R$ 0,80",VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.197.811/0001-46,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)",2024-11-09
RBRP11,"R$ 53,63","11,21%","0,69","R$ 1,00 M","15,43%","14,00%",82.239,12.179.176,"R$ 77,88","R$ 948,57 Milhões","R$ 0,54",FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PROPERTIES,21.408.063/0001-51,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,12% a.a",2024-11-09
DCRA11,"R$ 7,51","18,11%","0,79","R$ 117,36 K","-5,89%",-,18.044,6.738.894,"R$ 9,54","R$ 64,31 Milhões","R$ 0,10",DEVANT FUNDO INVEST NAS CAD PROD AGROIND,42.888.360/0001-11,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
TORD11,"R$ 0,99","0,00%","0,15","R$ 95,15 K","-52,63%",-,76.375,35.051.344,"R$ 6,68","R$ 234,10 Milhões","R$ 0,05",TORDESILHAS EI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.230.870/0001-18,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,"1,50% a.a",2024-11-09
AFHI11,"R$ 95,38","12,10%","1,00","R$ 1,37 M","12,40%",-,42.399,4.555.607,"R$ 95,58","R$ 435,42 Milhões","R$ 0,93",AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,36.642.293/0001-58,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido",2024-11-09
EGAF11,"R$ 88,35","17,43%","0,90","R$ 645,74 K","4,67%",-,12.207,3.131.903,"R$ 98,53","R$ 308,58 Milhões","R$ 1,25",ECOAGRO I FDO INV CADEIAS PROD AGROIND,41.224.330/0001-48,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
AGRX11,"R$ 7,18","21,73%","0,71","R$ 551,03 K","-22,96%",-,22.532,17.903.140,"R$ 10,18","R$ 182,17 Milhões","R$ 0,09",EXES ARAGUAIA,43.951.911/0001-07,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
TEPP11,"R$ 86,90","11,91%","0,89","R$ 706,22 K","7,44%",-,30.500,4.221.956,"R$ 97,62","R$ 412,15 Milhões","R$ 0,78",TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.681.370/0001-25,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,17% a.a sobre patrimônio liquido",2024-11-09
FIIB11,"R$ 497,50","8,59%","1,05","R$ 226,70 K","4,03%",-,15.795,684.989,"R$ 472,27","R$ 323,50 Milhões","R$ 3,75",FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL,14.217.108/0001-45,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,3% a.m R.B,2024-11-09
AAZQ11,"R$ 6,65","19,70%","0,77","R$ 844,21 K","-14,19%",-,30.131,24.037.273,"R$ 8,67","R$ 208,49 Milhões","R$ 0,10",AZ QUEST FIAGRO,44.625.826/0001-11,Geral,Desenvolvimento para renda,Fiagros,Outro,Indeterminado,Ativa,"1,2%",2024-11-09
RECT11,"R$ 29,27","16,79%","0,32","R$ 319,70 K","-23,22%","10,76%",57.890,8.543.482,"R$ 92,01","R$ 786,05 Milhões","R$ 0,36",FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA,32.274.163/0001-59,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,"0,17% a.a",2024-11-09
SNEL11,"R$ 8,86","14,94%","1,25","R$ 837,03 K","52,76%",-,16.014,18.898.174,"R$ 7,08","R$ 133,73 Milhões","R$ 0,10",FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS,43.741.171/0001-84,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,2024-11-09
OIAG11,"R$ 7,68","17,32%","0,77","R$ 215,25 K","-3,88%",-,13.564,9.032.988,"R$ 9,91","R$ 89,56 Milhões","R$ 0,10",OURINVEST INNOVATION,41.218.352/0001-03,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
BBGO11,"R$ 62,75","14,44%","0,66","R$ 425,20 K","-20,21%",-,12.957,4.005.153,"R$ 95,62","R$ 382,98 Milhões","R$ 0,10",BB FUNDO DE INVEST DE CRÉDITO FIAGRO,42.592.257/0001-20,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
BLMG11,"R$ 33,20","18,28%","0,47","R$ 666,51 K","-29,09%",-,14.143,4.268.796,"R$ 69,96","R$ 298,64 Milhões","R$ 0,50",BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.637/0001-71,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)",2024-11-09
CYCR11,"R$ 8,77","14,25%","0,93","R$ 285,95 K","6,95%",-,16.766,36.549.434,"R$ 9,46","R$ 345,76 Milhões","R$ 0,09",CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.233/0001-15,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido (mínimo R$20.000,00 mensais)",2024-11-09
ARRI11,"R$ 8,56","13,90%","1,00","R$ 762,05 K","12,34%",-,26.926,19.646.875,"R$ 8,57","R$ 168,40 Milhões","R$ 0,09",FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,32.006.821/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,14% a.a",2024-11-09
PATL11,"R$ 49,85","14,08%","0,51","R$ 485,68 K","-16,42%","2,70%",25.720,4.991.524,"R$ 98,39","R$ 491,14 Milhões","R$ 0,57",PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.754.164/0001-99,Geral,Desenvolvimento para renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,73%",2024-11-09
CPSH11,"R$ 9,82","12,17%","0,88","R$ 1,55 M","1,34%","4,50%",8.336,79.699.807,"R$ 11,11","R$ 885,30 Milhões","R$ 0,10",SHOPPINGS AAA FDO DE INV IMOB,47.896.665/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,2024-11-09
CPTI11,"R$ 88,59","15,24%","0,91","R$ 4,22 M","4,25%",-,42.204,13.736.402,"R$ 97,58","R$ 1,34 Bilhão","R$ 1,00",Capitânia Infra FIC FI-INFRA RF CP,38.065.012/0001-77,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,1%,2024-11-09
KDIF11,"R$ 129,56","10,54%","0,98","R$ 3,78 M","7,22%",-,35.908,20.306.008,"R$ 131,85","R$ 2,68 Bilhões","R$ 1,20",KINEA INFRA FIC FIDC,26.324.298/0001-89,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,"1,11%",2024-11-09
TVRI11,"R$ 93,91","12,31%","0,93","R$ 940,00 K","16,33%","3,00%",68.579,15.919.679,"R$ 101,48","R$ 1,62 Bilhão","R$ 0,98",TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.410.722/0001-29,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,0.277%,2024-11-09
SNCI11,"R$ 89,17","12,95%","0,91","R$ 710,69 K","0,44%",-,41.358,4.199.989,"R$ 98,53","R$ 413,81 Milhões","R$ 1,00",SUNO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.710/0001-82,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"0,70% a.a sobre patrimônio líquido",2024-11-09
IFRA11,"R$ 102,15","13,13%","0,98","R$ 2,09 M","10,94%",-,28.628,15.492.036,"R$ 103,05","R$ 1,60 Bilhão","R$ 1,12",ITAU FDO INV COTAS FDO INCENT DE INV INFR. RF CP,34.633.510/0001-18,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,"0,85%",2024-11-09
CARE11,"R$ 1,49","0,00%","0,21","R$ 9,44 K","4,20%",-,11.579,35.769.908,"R$ 7,00","R$ 250,34 Milhões","R$ 0,01",BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,13.584.584/0001-31,Geral,Títulos e valores mobiliários,Híbrido,Fundo misto,Indeterminado,Ativa,"1,60% a.a",2024-11-09
SDIL11,"R$ 97,78","0,00%","1,01","R$ 708,37 K","1,76%","0,60%",64.836,6.395.039,"R$ 96,93","R$ 619,90 Milhões","R$ 0,83",FUNDO DE INVESTIMENTO IMOBILIARIO SDI RIO BRAVO RENDA LOGÍSTICA,16.671.412/0001-93,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,84% a.a",2024-11-09
FATN11,"R$ 87,00","11,72%","0,85","R$ 499,62 K","5,12%","6,00%",19.449,3.445.756,"R$ 102,51","R$ 353,24 Milhões","R$ 0,85",FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,30.567.216/0001-02,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,80% a.a sobre patrimônio liquido (minimo R$18.000,00 mensais)",2024-11-09
MCRE11,"R$ 9,14","14,77%","0,95","R$ 5,20 M","-5,19%",-,100.276,111.598.910,"R$ 9,64","R$ 1,08 Bilhão","R$ 0,10",MAUÁ CAPITAL REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.655.973/0001-06,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,05% a.a. sobre patrimônio líquido",2024-11-09
MCHY11,"R$ 8,58","15,73%","0,89","R$ 5,20 M","-12,80%",-,100.276,111.598.910,"R$ 9,64","R$ 1,08 Bilhão","R$ 0,10",FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL HIGH YIELD,36.655.973/0001-06,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,05% a.a. sobre patrimônio líquido",2024-11-09
CXAG11,"R$ 71,58","11,71%","0,62","R$ 145,99 K","1,75%",-,12.572,2.090.610,"R$ 115,57","R$ 241,62 Milhões","R$ 0,69",FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,40.189.596/0001-34,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,"0,58% a.a. sobre patrimônio líquido",2024-11-09
BCIA11,"R$ 87,55","11,82%","0,86","R$ 1,09 M","-3,27%",-,28.295,3.719.027,"R$ 102,13","R$ 379,81 Milhões","R$ 0,84",BRADESCO CARTEIRA IMOBILIÁRIA ATIVA – FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.216.935/0001-17,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,50% a.a",2024-11-09
RBFF11,"R$ 51,00","11,96%","0,80","R$ 607,50 K","-6,80%",-,24.039,3.749.204,"R$ 63,69","R$ 238,78 Milhões","R$ 0,51",RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO,17.329.029/0001-14,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,80% a.a",2024-11-09
KNHY11,"R$ 101,49","12,91%","1,01","R$ 10,32 M","14,16%",-,28.693,28.169.496,"R$ 100,73","R$ 2,84 Bilhões","R$ 1,00",KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.130.708/0001-28,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,60% a.a",2024-11-09
AIEC11,"R$ 44,33","19,58%","0,52","R$ 506,33 K","-8,71%",-,18.718,4.824.976,"R$ 84,75","R$ 408,91 Milhões","R$ 0,62",AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.765.826/0001-26,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,75% a.a",2024-11-09
CXCO11,"R$ 55,49","14,86%","0,54","R$ 376,40 K","-17,73%",-,13.718,3.924.489,"R$ 101,87","R$ 399,79 Milhões","R$ 0,49",FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS,38.658.984/0001-75,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,25% a.a sobre patrimônio liquido",2024-11-09
TRBL11,"R$ 64,36","15,01%","0,65","R$ 789,60 K","-27,46%","0,70%",57.993,7.739.081,"R$ 99,79","R$ 772,30 Milhões","R$ 0,62",FDO DE INVEST IMOB TELLUS RIO BRAVO RENDA LOGISTIC,16.671.412/0001-93,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,84%",2024-11-09
NCRA11,"R$ 8,10","15,13%","0,77","R$ 78,91 K","-13,46%",-,9.022,4.459.941,"R$ 10,57","R$ 47,13 Milhões","R$ 0,10",NCH EQI RECEBÍVEIS DO AGRONEGÓCIO,42.537.438/0001-53,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,"1,2%",2024-11-09
GCRA11,"R$ 46,21","22,70%","0,54","R$ 275,22 K","-36,45%",-,8.311,1.750.854,"R$ 86,32","R$ 151,14 Milhões","R$ 0,60",GALÁPAGOS RECEBÍVEIS DO AGRONEGÓCIO,37.037.297/0001-70,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
OUJP11,"R$ 77,87","13,73%","0,79","R$ 478,87 K","-6,42%",-,28.729,3.252.373,"R$ 98,41","R$ 320,07 Milhões","R$ 0,90",OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.091.656/0001-50,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,05% a.a",2024-11-09
INLG11,"R$ 76,32","11,57%","0,77","R$ 164,21 K","1,94%",-,20.023,4.512.092,"R$ 99,60","R$ 449,41 Milhões","R$ 0,80",INTER LOGÍSTICO  FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,34.598.181/0001-11,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,31% a.a",2024-11-09
AJFI11,"R$ 7,45","11,27%","0,61","R$ 620,98 K","-18,04%","9,00%",13.433,31.625.967,"R$ 12,25","R$ 387,52 Milhões","R$ 0,07",AJ MALLS,51.472.985/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,2024-11-09
LGCP11,"R$ 82,95","8,72%","0,83","R$ 340,25 K","7,14%",-,20.446,4.512.092,"R$ 99,85","R$ 450,51 Milhões","R$ 0,74",LOGCP INTER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,34.598.181/0001-11,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,31% a.a",2024-11-09
WHGR11,"R$ 8,98","13,31%","0,94","R$ 411,31 K","5,52%",-,13.074,30.912.368,"R$ 9,60","R$ 296,81 Milhões","R$ 0,10",WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.256.643/0001-88,Geral,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido",2024-11-09
BBFI11,"R$ 366,61","80,48%","0,42","R$ 120,10 K","-38,79%","100,00%",7.324,129.989,"R$ 867,22","R$ 112,74 Milhões","R$ 100,41",BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,07.000.400/0001-46,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"3% a.m sobre receita (minimo R$36.000,00 mensais)",2024-11-09
KFOF11,"R$ 77,20","12,41%","0,85","R$ 2,61 M","-10,33%",-,23.417,7.014.554,"R$ 90,79","R$ 636,86 Milhões","R$ 0,75",FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,30.091.444/0001-40,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,92% a.a sobre patrimônio liquido",2024-11-09
VCRI11,"R$ 7,52","14,73%","0,79","R$ 191,48 K","6,67%",-,11.517,17.773.286,"R$ 9,54","R$ 169,63 Milhões","R$ 0,09",VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO,41.081.374/0001-66,,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,2024-11-09
ABCP11,"R$ 75,00","8,40%","0,74","R$ 62,40 K","18,11%","12,30%",15.663,4.709.071,"R$ 101,61","R$ 478,49 Milhões","R$ 0,70",FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,01.201.140/0001-90,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,1% a.a",2024-11-09
LIFE11,"R$ 9,84","16,04%","0,99","R$ 639,54 K","15,90%",-,14.839,23.268.343,"R$ 9,91","R$ 230,59 Milhões","R$ 0,14",Life Capital Partners Fund de Investimento Imob,39.753.295/0001-02,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,2024-11-09
RBRX11,"R$ 8,40","13,81%","0,88","R$ 900,34 K","2,82%",-,14.803,29.468.648,"R$ 9,54","R$ 281,04 Milhões","R$ 0,08",FII RBR MULT,41.088.458/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,2024-11-09
PATC11,"R$ 33,45","13,18%","0,81","R$ 33,25 K","-47,15%",-,7.088,3.477.423,"R$ 41,15","R$ 143,11 Milhões","R$ 0,15",PÁTRIA EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.048.651/0001-12,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,175% a.a",2024-11-09
BODB11,"R$ 8,21","11,06%","0,92","R$ 2,15 M","-0,36%",-,27.973,64.877.088,"R$ 8,95","R$ 580,44 Milhões","R$ 0,09",BOCAINA INFRA - FDO INV COTAS FDO INV INFRA RF CP,41.771.670/0001-99,Geral,Híbridos,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,0.9%,2024-11-09
RBRL11,"R$ 73,00","12,29%","0,70","R$ 379,60 K","-6,17%",-,14.865,6.687.024,"R$ 103,78","R$ 693,97 Milhões","R$ 0,77",RBR LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.705.463/0001-33,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido (minimo R$20.000,00 mensais)",2024-11-09
VCRA11,"R$ 66,46","18,90%","0,64","R$ 864,08 K","-17,41%",-,11.666,4.593.908,"R$ 104,46","R$ 479,89 Milhões","R$ 1,00",VECTIS DATAGRO CR AGR,42.502.827/0001-43,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
KCRE11,"R$ 8,77","12,68%","0,89","R$ 493,21 K","4,53%",-,14.673,35.999.989,"R$ 9,85","R$ 354,58 Milhões","R$ 0,08",KINEA CREDITAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.502.802/0001-40,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,2024-11-09
CDII11,"R$ 106,24","14,75%","1,00","R$ 4,78 M","15,92%",-,20.759,3.872.204,"R$ 105,69","R$ 409,25 Milhões","R$ 1,70",Sparta Infra CDI FIC FI-Infra,48.973.783/0001-16,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,1% a.a,2024-11-09
JPPA11,"R$ 81,69","14,84%","0,84","R$ 279,81 K","2,72%",-,7.770,904.039,"R$ 96,91","R$ 87,61 Milhões","R$ 1,05",JPP ALLOCATION MOGNO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.982.880/0001-00,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,"0,65% a.a sobre patrimônio liquido",2024-11-09
APTO11,"R$ 9,17","11,78%","0,92","R$ 35,03 K","5,89%","35,00%",9.373,4.612.216,"R$ 9,99","R$ 46,05 Milhões","R$ 0,09",NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.432.327/0001-82,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,35% a.a. sobre patrimônio líquido",2024-11-09
SNFF11,"R$ 84,48","12,82%","0,98","R$ 626,96 K","9,25%",-,30.430,2.986.432,"R$ 86,47","R$ 258,23 Milhões","R$ 0,72",SUNO FUNDO DE FUNDOS IMOBILIÁRIO,40.011.225/0001-68,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,78% a.a",2024-11-09
GSFI11,"R$ 7,50","0,00%","0,55","R$ 98,62 K","-8,09%","10,40%",7.385,92.220.593,"R$ 13,55","R$ 1,25 Bilhão","R$  0,00",GENERAL SHOP E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.769.604/0001-13,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"1,05% a.a",2024-11-09
HGPO11,"R$ 119,05","125,75%","0,35","R$ 1,16 M","1,59%","3,40%",12.652,1.753.046,"R$ 344,77","R$ 604,41 Milhões","R$ 130,40",CSHG PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.260.134/0001-68,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,625% a.a",2024-11-09
BTRA11,"R$ 41,57","10,10%","0,38","R$ 300,50 K","-24,91%",-,14.986,3.364.548,"R$ 110,68","R$ 372,41 Milhões","R$ 0,30",FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS,41.076.607/0001-32,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,"1,22% a.a sobre patrimônio liquido (mínimo R$5.000,00 mensais)",2024-11-09
BARI11,"R$ 74,00","12,68%","0,81","R$ 569,70 K","1,84%",-,39.582,4.634.180,"R$ 91,74","R$ 425,12 Milhões","R$ 0,71",FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I,29.267.567/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,305% a.a sobre patrimônio liquido do fundo (minimo R$16.500,00 mensais)",2024-11-09
